player,nationality,position,team,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,team_county
Khvicha Kvaratskhelia,GEO,FW, Napoli,2001,8,8,668,7.4,0,1,1,0,0,0,0,0,0.9,0.9,1.4,2.3,52,33,71,0.00,0.13,0.13,0.00,0.13,0.13,0.19,0.31,0.13,0.31,it
Gustaf Lagerbielke,SWE,DF,t Celtic,2000,2,1,78,0.9,1,0,1,1,0,0,2,1,0.8,0.8,0.0,0.8,0,1,0,1.15,0.00,1.15,1.15,1.15,0.91,0.00,0.91,0.91,0.91,sc
Aïssa Laïdouni,TUN,MF, Union Berlin,1996,6,3,276,3.1,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,9,16,10,0.00,0.33,0.33,0.00,0.33,0.07,0.10,0.17,0.07,0.17,de
Konrad Laimer,AUT,"DF,MF", Bayern Munich,1997,7,4,412,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,12,20,25,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,de
Érik Lamela,ARG,"FW,MF", Sevilla,1992,3,2,186,2.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.4,5,6,11,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.21,0.13,0.21,es
Senne Lammens,BEL,GK, Antwerp,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,be
Noa Lang,NED,FW, PSV Eindhoven,1999,2,2,165,1.8,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,26,15,20,0.00,0.00,0.00,0.00,0.00,0.25,0.24,0.49,0.25,0.49,nl
Jordan Larsson,SWE,"FW,MF", FC Copenhagen,1997,5,1,104,1.2,0,0,0,0,0,1,0,0,1.0,0.2,0.0,0.2,0,3,4,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.90,0.22,0.22,dk
Jamaal Lascelles, ENG,DF,g Newcastle Utd,1993,5,5,450,5.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,10,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,en
Sandro Lauper,SUI,MF, Young Boys,1996,4,4,276,3.1,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.2,2,3,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,ch
Manuel Lazzari,ITA,DF, Lazio,1993,7,3,425,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,16,20,21,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,it
Robin Le Normand,ESP,DF, Real Sociedad,1996,7,7,572,6.4,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,2,15,0,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,es
Rafael Leão,POR,FW, Milan,1999,5,5,441,4.9,1,0,1,1,0,0,1,0,1.1,1.1,1.2,2.3,25,11,38,0.20,0.00,0.20,0.20,0.20,0.22,0.25,0.47,0.22,0.47,it
Diogo Leite,POR,DF, Union Berlin,1999,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,21,5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,de
Stav Lemkin,ISR,DF, Shakhtar,2003,1,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ua
Christopher Lenz,GER,DF, RB Leipzig,1994,2,1,93,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Lukas Lerager,DEN,MF, FC Copenhagen,1993,6,6,539,6.0,3,1,4,3,0,0,4,1,1.3,1.3,0.5,1.8,2,12,17,0.50,0.17,0.67,0.50,0.67,0.22,0.08,0.30,0.22,0.30,dk
Robert Lewandowski,POL,FW, Barcelona,1988,7,7,554,6.2,3,1,4,3,0,0,0,0,2.3,2.3,1.1,3.4,9,13,30,0.49,0.16,0.65,0.49,0.65,0.38,0.18,0.56,0.38,0.56,es
Rico Lewis, ENG,"MF,DF",g Manchester City,2004,7,6,548,6.1,0,3,3,0,0,0,0,0,0.7,0.7,1.0,1.7,15,30,34,0.00,0.49,0.49,0.00,0.49,0.12,0.16,0.28,0.12,0.28,en
Matthijs de Ligt,NED,DF, Bayern Munich,1999,3,2,198,2.2,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.7,0,9,0,0.00,0.45,0.45,0.00,0.45,0.07,0.26,0.33,0.07,0.33,de
Victor Lindelöf,SWE,DF,g Manchester Utd,1994,4,3,298,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,en
Jesper Lindstrøm,DEN,FW, Napoli,2000,4,0,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,0,10,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,it
Ondřej Lingr,CZE,"FW,MF", Feyenoord,1998,4,0,69,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,6,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,nl
Samuel Lino,BRA,DF, Atlético Madrid,1999,6,5,415,4.6,2,3,5,2,0,0,2,0,1.1,1.1,0.5,1.7,24,13,41,0.43,0.65,1.08,0.43,1.08,0.25,0.11,0.36,0.25,0.36,es
Valentino Livramento, ENG,"DF,FW",g Newcastle Utd,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,7,16,13,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,en
Marcos Llorente,ESP,"MF,DF", Atlético Madrid,1995,7,4,468,5.2,0,1,1,0,0,0,0,0,0.2,0.2,2.2,2.4,15,22,41,0.00,0.19,0.19,0.00,0.19,0.04,0.42,0.46,0.04,0.46,es
Danny Loader, ENG,"MF,FW", Porto,2000,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
Stanislav Lobotka,SVK,MF, Napoli,1994,8,8,677,7.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,31,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,it
Ruben Loftus-Cheek, ENG,MF, Milan,1996,4,4,323,3.6,0,0,0,0,0,0,0,0,0.5,0.5,0.4,1.0,15,11,16,0.00,0.00,0.00,0.00,0.00,0.15,0.11,0.27,0.15,0.27,it
Sean Longstaff, ENG,MF,g Newcastle Utd,1997,5,4,354,3.9,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.3,3,14,11,0.25,0.00,0.25,0.25,0.25,0.03,0.04,0.07,0.03,0.07,en
Rony Lopes,POR,FW, Braga,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,1,0.00,0.00,0.00,0.00,0.00,3.24,0.00,3.24,3.24,3.24,pt
Fermin López,ESP,"MF,FW", Barcelona,2003,6,3,264,2.9,2,1,3,2,0,0,0,0,2.2,2.2,0.6,2.8,6,18,13,0.68,0.34,1.02,0.68,1.02,0.74,0.22,0.95,0.74,0.95,es
Marcos López,PER,DF, Feyenoord,1999,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nl
Hirving Lozano,MEX,FW, PSV Eindhoven,1995,7,4,377,4.2,0,0,0,0,0,0,4,0,0.7,0.7,0.1,0.8,21,8,57,0.00,0.00,0.00,0.00,0.00,0.17,0.02,0.18,0.17,0.18,nl
Vladimir Lučić,SRB,"DF,FW", Red Star,2002,6,1,205,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,12,18,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12,rs
Florentino Luís,POR,MF, Benfica,1999,3,2,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
Castello Lukeba,FRA,DF, RB Leipzig,2002,7,7,619,6.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,8,12,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,de
Dodi Lukebakio,BEL,FW, Sevilla,1997,4,3,246,2.7,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,10,6,16,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.20,0.07,0.20,es
Andriy Lunin,UKR,GK, Real Madrid,1999,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Fabian Lustenberger,SUI,DF, Young Boys,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,ch
Ian Maatsen,NED,DF, Dortmund,2002,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,6,4,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,de
Deiver Machado,COL,DF, Lens,1993,5,4,367,4.1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,8,10,11,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,fr
Daizen Maeda,JPN,FW,t Celtic,1997,4,4,283,3.1,0,1,1,0,0,0,1,1,0.4,0.4,0.1,0.5,5,6,32,0.00,0.32,0.32,0.00,0.32,0.13,0.04,0.17,0.13,0.17,sc
Harry Maguire, ENG,DF,g Manchester Utd,1993,4,4,309,3.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,2,11,0,0.29,0.00,0.29,0.29,0.29,0.08,0.00,0.08,0.08,0.08,en
Jon Magunacelaya,ESP,MF, Real Sociedad,2000,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.76,0.76,0.76,es
Mike Maignan,FRA,GK, Milan,1995,6,6,530,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,it
Kobbie Mainoo, ENG,MF,g Manchester Utd,2005,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,en
Donyell Malen,NED,FW, Dortmund,1999,7,6,444,4.9,1,0,1,1,0,0,0,0,2.1,2.1,0.4,2.5,24,17,43,0.20,0.00,0.20,0.20,0.20,0.42,0.09,0.51,0.42,0.51,de
Darian Males,SUI,MF, Young Boys,2001,6,2,167,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,4,6,2,0.00,0.00,0.00,0.00,0.00,0.11,0.10,0.20,0.11,0.20,ch
Reinildo Mandava,MOZ,DF, Atlético Madrid,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
José María Giménez,URU,DF, Atlético Madrid,1995,5,4,301,3.3,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,0,3,1,0.00,0.30,0.30,0.00,0.30,0.05,0.21,0.26,0.05,0.26,es
Mariano,DOM,"MF,FW", Sevilla,1993,3,0,63,0.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,1,5,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,es
Adrián Marín,ESP,DF, Braga,1997,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
João Mário,POR,"FW,MF", Benfica,1993,5,5,322,3.6,3,0,3,3,0,0,1,0,1.5,1.5,0.1,1.6,7,14,14,0.84,0.00,0.84,0.84,0.84,0.41,0.04,0.45,0.41,0.45,pt
João Mário Lopes,POR,DF, Porto,2000,8,7,592,6.6,0,1,1,0,0,0,2,0,0.1,0.1,1.1,1.2,25,28,32,0.00,0.15,0.15,0.00,0.15,0.01,0.17,0.18,0.01,0.18,pt
Marquinhos,BRA,DF, Paris S-G,1994,6,6,540,6.0,0,2,2,0,0,0,1,0,0.0,0.0,0.4,0.5,4,21,1,0.00,0.33,0.33,0.00,0.33,0.01,0.07,0.08,0.01,0.08,fr
Anthony Martial,FRA,"FW,DF",g Manchester Utd,1995,4,0,50,0.6,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,2,2,6,0.00,1.80,1.80,0.00,1.80,0.00,0.35,0.35,0.00,0.35,en
Gabriel Martinelli,BRA,FW,g Arsenal,2001,4,4,349,3.9,2,1,3,2,0,0,0,0,1.6,1.6,0.7,2.3,27,8,62,0.52,0.26,0.77,0.52,0.77,0.40,0.19,0.59,0.40,0.59,en
Iñigo Martínez,ESP,DF, Barcelona,1991,3,3,261,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,es
Lautaro Martínez,ARG,FW, Inter,1997,8,5,532,5.9,2,1,3,1,1,1,2,0,5.1,4.3,0.7,5.0,11,18,38,0.34,0.17,0.51,0.17,0.34,0.92,0.12,1.04,0.78,0.89,it
Lisandro Martínez,ARG,DF,g Manchester Utd,1998,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,en
Toni Martínez,ESP,FW, Porto,1997,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
Adam Marušić,MNE,DF, Lazio,1992,7,6,514,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,5,21,16,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04,it
Matheus,BRA,GK, Braga,1992,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
Magnus Mattsson,DEN,MF, FC Copenhagen,1999,2,1,113,1.3,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.6,2,2,3,0.80,0.00,0.80,0.80,0.80,0.43,0.02,0.45,0.43,0.45,dk
Mykola Matviyenko,UKR,DF, Shakhtar,1996,5,5,450,5.0,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,3,7,4,0.20,0.00,0.20,0.20,0.20,0.09,0.02,0.11,0.09,0.11,ua
Eric Maxim Choupo-Moting,CMR,"FW,MF", Bayern Munich,1989,4,0,38,0.4,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,1,0,2,0.00,0.00,0.00,0.00,0.00,1.20,0.13,1.34,1.20,1.34,de
Noussair Mazraoui,MAR,DF, Bayern Munich,1997,5,5,392,4.4,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,13,31,22,0.00,0.23,0.23,0.00,0.23,0.01,0.09,0.10,0.01,0.10,de
Kylian Mbappé,FRA,"FW,MF", Paris S-G,1998,8,8,720,8.0,6,0,6,4,2,2,0,0,5.5,4.0,3.7,7.7,51,44,103,0.75,0.00,0.75,0.50,0.50,0.69,0.46,1.15,0.50,0.96,fr
Callum McGregor, SCO,MF,t Celtic,1993,6,6,520,5.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.5,3,17,3,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,sc
Scott McKenna, SCO,DF, FC Copenhagen,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,dk
Scott McTominay, SCO,MF,g Manchester Utd,1996,5,4,382,4.2,1,1,2,1,0,0,1,0,1.4,1.4,1.2,2.6,7,14,12,0.24,0.24,0.47,0.24,0.47,0.32,0.29,0.61,0.32,0.61,en
Facundo Medina,ARG,DF, Lens,1999,6,6,495,5.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,5,15,5,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,fr
Hannibal Mejbri,TUN,"MF,FW",g Manchester Utd,2003,2,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,en
Birger Meling,NOR,DF, FC Copenhagen,1994,3,2,193,2.1,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,6,5,7,0.00,0.47,0.47,0.00,0.47,0.02,0.18,0.20,0.02,0.20,dk
Memphis,NED,FW, Atlético Madrid,1994,3,0,104,1.2,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,3,9,5,0.87,0.00,0.87,0.87,0.87,1.22,0.10,1.32,1.22,1.32,es
Joe Mendes,SWE,DF, Braga,2002,5,2,205,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,19,7,12,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,pt
Nuno Mendes,POR,DF, Paris S-G,2002,1,1,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,fr
Brais Méndez,ESP,MF, Real Sociedad,1997,7,7,526,5.8,3,1,4,3,0,1,1,0,1.9,1.2,0.7,1.9,9,21,19,0.51,0.17,0.68,0.51,0.68,0.33,0.12,0.46,0.20,0.32,es
Ferland Mendy,FRA,DF, Real Madrid,1995,6,4,392,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1,20,21,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,es
Nampalys Mendy,SEN,MF, Lens,1992,6,6,366,4.1,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,13,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,fr
Alex Meret,ITA,GK, Napoli,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,it
Mikel Merino,ESP,MF, Real Sociedad,1996,7,7,630,7.0,2,1,3,2,0,0,2,0,2.1,2.1,0.7,2.9,6,48,18,0.29,0.14,0.43,0.29,0.43,0.30,0.11,0.41,0.30,0.41,es
Dries Mertens,BEL,MF, Galatasaray,1987,5,2,201,2.2,0,0,0,0,0,0,0,0,0.1,0.1,1.1,1.3,5,10,16,0.00,0.00,0.00,0.00,0.00,0.06,0.51,0.57,0.06,0.57,tr
Alexander Meyer,GER,GK, Dortmund,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Srđan Mijailović,SRB,"DF,MF", Red Star,1993,6,6,487,5.4,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,2,15,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,rs
Jovan Mijatović,SRB,"FW,MF", Red Star,2005,4,0,118,1.3,0,0,0,0,0,0,0,0,0.9,0.9,0.0,0.9,0,4,7,0.00,0.00,0.00,0.00,0.00,0.69,0.02,0.70,0.69,0.70,rs
Antoni Milambo,NED,"DF,MF", Feyenoord,2005,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,nl
Lewis Miley, ENG,MF,g Newcastle Utd,2006,3,2,170,1.9,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,5,10,0.00,0.53,0.53,0.00,0.53,0.00,0.08,0.08,0.00,0.08,en
Kim Min-jae,KOR,DF, Bayern Munich,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,22,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,de
Yankuba Minteh,GAM,FW, Feyenoord,2004,4,2,198,2.2,1,0,1,1,0,0,1,0,1.3,1.3,0.3,1.7,12,6,35,0.45,0.00,0.45,0.45,0.45,0.60,0.15,0.75,0.60,0.75,nl
Rafa Mir,ESP,FW, Sevilla,1997,2,0,38,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,es
Stefan Mitrović,SRB,"DF,FW", Red Star,2002,3,3,209,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,5,7,10,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,rs
Henrikh Mkhitaryan,ARM,MF, Inter,1989,7,7,516,5.7,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,13,26,14,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,it
Luka Modrić,CRO,MF, Real Madrid,1985,6,3,316,3.5,0,0,0,0,0,1,0,0,1.1,0.3,0.6,0.9,10,39,20,0.00,0.00,0.00,0.00,0.00,0.30,0.18,0.48,0.08,0.26,es
Nahuel Molina,ARG,DF, Atlético Madrid,1998,8,8,653,7.3,0,2,2,0,0,0,1,0,0.1,0.1,0.7,0.7,8,34,51,0.00,0.28,0.28,0.00,0.28,0.01,0.09,0.10,0.01,0.10,es
Joel Monteiro,POR,"FW,MF", Young Boys,1999,4,3,264,2.9,0,1,1,0,0,0,2,0,0.3,0.3,0.7,1.1,3,5,10,0.00,0.34,0.34,0.00,0.34,0.12,0.25,0.36,0.12,0.36,ch
Álvaro Morata,ESP,FW, Atlético Madrid,1992,8,6,557,6.2,5,1,6,5,0,0,2,0,3.6,3.6,0.1,3.7,9,5,29,0.81,0.16,0.97,0.81,0.97,0.58,0.02,0.61,0.58,0.61,es
Morato,BRA,DF, Benfica,2001,5,4,435,4.8,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.6,12,15,11,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.13,0.05,0.13,pt
Leandro Morgalla,GER,DF, RB Salzburg,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,at
Youssoufa Moukoko,GER,FW, Dortmund,2004,3,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Mason Mount, ENG,"MF,FW",g Manchester Utd,1999,2,1,91,1.0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,3,3,5,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.47,0.47,0.47,en
João Moutinho,POR,MF, Braga,1986,5,3,291,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,3,28,2,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,pt
Arbnor Muja,ALB,FW, Antwerp,1998,5,4,357,4.0,1,0,1,1,0,0,3,1,0.8,0.8,0.1,0.9,14,8,33,0.25,0.00,0.25,0.25,0.25,0.20,0.02,0.22,0.20,0.22,be
Nordi Mukiele,FRA,DF, Paris S-G,1997,3,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,fr
Thomas Müller,GER,MF, Bayern Munich,1989,7,3,340,3.8,1,1,2,1,0,0,0,0,1.5,1.5,1.4,2.9,8,16,45,0.26,0.26,0.53,0.26,0.53,0.40,0.37,0.77,0.40,0.77,de
Aihen Muñoz,ESP,DF, Real Sociedad,1997,6,5,474,5.3,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,10,40,16,0.00,0.19,0.19,0.00,0.19,0.02,0.15,0.17,0.02,0.17,es
Jacob Murphy, ENG,FW,g Newcastle Utd,1995,3,1,87,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,10,0.00,1.03,1.03,0.00,1.03,0.07,0.05,0.12,0.07,0.12,en
Petar Musa,CRO,"FW,MF", Benfica,1998,6,2,233,2.6,0,0,0,0,0,0,1,0,1.2,1.2,0.2,1.5,5,2,10,0.00,0.00,0.00,0.00,0.00,0.48,0.09,0.58,0.48,0.58,pt
Yunus Musah,USA,MF, Milan,2002,5,4,350,3.9,0,0,0,0,0,0,4,0,0.2,0.2,0.2,0.5,4,12,4,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,it
Jamal Musiala,GER,"MF,FW", Bayern Munich,2003,7,7,524,5.8,2,1,3,2,0,0,1,0,1.9,1.9,1.0,2.9,35,34,36,0.34,0.17,0.52,0.34,0.52,0.32,0.17,0.49,0.32,0.49,de
Fernando Muslera,URU,GK, Galatasaray,1986,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,tr
Almoatasem Al Musrati,LBY,MF, Braga,1996,5,3,309,3.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,32,3,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11,pt
Nacho,ESP,DF, Real Madrid,1990,8,7,616,6.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,16,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,es
Natan,BRA,DF, Napoli,2001,6,5,451,5.0,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,11,21,2,0.00,0.20,0.20,0.00,0.20,0.05,0.13,0.18,0.05,0.18,it
Fran Navarro,ESP,FW, Porto,1998,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
Jesús Navas,ESP,DF, Sevilla,1985,4,3,218,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,5,9,17,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,es
Yehor Nazaryna,UKR,MF, Shakhtar,1997,4,2,204,2.3,0,1,1,0,0,0,1,0,0.2,0.2,1.2,1.4,1,7,6,0.00,0.44,0.44,0.00,0.44,0.10,0.51,0.61,0.10,0.61,ua
